sentence,entities
Network engineer Mia updated router configs on IP 203.0.113.10 using token key POIUYTREWQLKJHGFDSAMNBVCXZ123456.,"[(17, 20, 'PER'), (41, 54, 'IP-Address'), (68, 108, 'Token keys')]"
The new feature 'SecureConnect' was rolled out by DevTeam at IP 10.0.0.99 with token key QWERTYUIOPASDFGHJKLZXCVBNM9876543210.,"[(18, 31, 'WORK_OF_ART'), (48, 56, 'ORG'), (60, 70, 'IP-Address'), (84, 124, 'Token keys')]"
"On 2024-03-15, operator Jack logged in from IP 172.16.254.254 and authenticated with token key ZXCVBNMASDFGHJKLQWERTYUIOP123456.","[(3, 13, 'DATE'), (26, 30, 'PER'), (44, 57, 'IP-Address'), (71, 111, 'Token keys')]"
"Server load average exceeded threshold on 192.0.2.200, token key MNBVCXZLKJHGFDSAPOIUYTREWQ1234567890 used for diagnostics.","[(43, 56, 'IP-Address'), (70, 110, 'Token keys')]"
Jessica deployed patch KB1002003 to server 10.10.10.100 with token key ASDFGHJKLQWERTYUIOPZXCVBNM9876543210.,"[(0, 7, 'PER'), (26, 36, 'WORK_OF_ART'), (40, 52, 'IP-Address'), (66, 106, 'Token keys')]"
The translation team updated the manual 'QuickStart Guide' in English from IP 203.0.113.15 using token key ZXCVBNMASDFGHJKLQWERTYUIOP123456.,"[(4, 20, 'ORG'), (39, 55, 'WORK_OF_ART'), (59, 66, 'LANGUAGE'), (72, 85, 'IP-Address'), (99, 139, 'Token keys')]"
"On 2024-02-28, analyst Mike remotely accessed IP 198.51.100.5 with token key QWERTYUIOPASDFGHJKLZXCVBNM1234567890.","[(3, 13, 'DATE'), (22, 26, 'PER'), (44, 57, 'IP-Address'), (71, 111, 'Token keys')]"
"The 7th server in cluster 172.20.10.15 failed health check, token key MNBVCXZLKJHGFDSAPOIUYTREWQ9876543210 assigned for recovery.","[(4, 7, 'ORDINAL'), (27, 39, 'IP-Address'), (56, 96, 'Token keys')]"
Admin Olivia reset the firewall at IP 203.0.113.50 and logged token key ZXCVBNMASDFGHJKLQWERTYUIOP123456.,"[(6, 12, 'PER'), (38, 51, 'IP-Address'), (65, 105, 'Token keys')]"
The software 'GuardPro' version 2.5 was installed on 192.168.10.20 with token key QAZWSXEDCRFVTGBYHNUJMIKOLP0987654321.,"[(13, 21, 'WORK_OF_ART'), (43, 54, 'IP-Address'), (68, 108, 'Token keys')]"
User Noah from London logged in via IPv6 2001:0db8:85a3:0000:0000:8a2e:0370:7335 using token key 1Q2W3E4R5T6Y7U8I9O0P1A2S3D4F5G6.,"[(5, 9, 'PER'), (15, 21, 'LOC'), (35, 72, 'IP-Address'), (86, 126, 'Token keys')]"
Database server 10.20.30.50 was patched on 2024-05-06 with token key ZXCVBNMASDFGHJKLQWERTYUIOP12345678 by user Emma.,"[(17, 28, 'IP-Address'), (38, 48, 'DATE'), (52, 92, 'Token keys'), (102, 106, 'PER')]"
NetSolutions deployed firewall updates on IP 192.0.2.60 with token key MNBVCXZLKJHGFDSAPOIUYTREWQ9876543210 effective 2024-07-02.,"[(0, 12, 'ORG'), (41, 52, 'IP-Address'), (66, 106, 'Token keys'), (117, 127, 'DATE')]"
Lucy rebooted server 172.31.0.110 and used token key ASDFGHJKLQWERTYUIOPZXCVBNM123456 to restore services.,"[(0, 4, 'PER'), (22, 34, 'IP-Address'), (47, 87, 'Token keys')]"
"The 1st quarter report prepared by Finance Dept on IP 198.51.100.20, token key QWERTYUIOPASDFGHJKLZXCVBNM123456.","[(4, 7, 'ORDINAL'), (38, 53, 'ORG'), (59, 71, 'IP-Address'), (83, 123, 'Token keys')]"
Ava accessed the VPN from IPv6 fe80::a6db:30ff:fe98:e947 with token key ZXCVBNMLKJHGFDSAPOIUYTREWQ1234567890.,"[(0, 3, 'PER'), (24, 48, 'IP-Address'), (62, 102, 'Token keys')]"
Patch KB7891012 was installed on 10.10.20.31 with token key MNBVCXZLKJHGFDSAPOIUYTREWQ0987654321 by admin Ethan.,"[(6, 16, 'WORK_OF_ART'), (30, 41, 'IP-Address'), (55, 95, 'Token keys'), (104, 109, 'PER')]"
Server 192.168.1.201 rebooted at 2024-06-31 following token key 1234567890QWERTYUIOPLKJHGFDSAZXCV for authentication.,"[(7, 20, 'IP-Address'), (29, 39, 'DATE'), (50, 90, 'Token keys')]"
Network engineer Mia updated router configs on IP 203.0.113.11 using token key POIUYTREWQLKJHGFDSAMNBVCXZ123456.,"[(16, 19, 'PER'), (40, 53, 'IP-Address'), (67, 107, 'Token keys')]"
The new feature 'SecureConnect' was rolled out by DevTeam at IP 10.0.0.100 with token key QWERTYUIOPASDFGHJKLZXCVBNM9876543210.,"[(18, 31, 'WORK_OF_ART'), (47, 54, 'ORG'), (58, 68, 'IP-Address'), (82, 122, 'Token keys')]"
"On 2024-03-16, operator Jack logged in from IP 172.16.254.255 and authenticated with token key ZXCVBNMASDFGHJKLQWERTYUIOP123456.","[(3, 13, 'DATE'), (26, 30, 'PER'), (44, 57, 'IP-Address'), (71, 111, 'Token keys')]"
"Server load average exceeded threshold on 192.0.2.201, token key MNBVCXZLKJHGFDSAPOIUYTREWQ1234567890 used for diagnostics.","[(43, 56, 'IP-Address'), (70, 110, 'Token keys')]"
Jessica deployed patch KB1002004 to server 10.10.10.101 with token key ASDFGHJKLQWERTYUIOPZXCVBNM9876543210.,"[(0, 7, 'PER'), (26, 36, 'WORK_OF_ART'), (40, 52, 'IP-Address'), (66, 106, 'Token keys')]"
The translation team updated the manual 'QuickStart Guide' in English from IP 203.0.113.16 using token key ZXCVBNMASDFGHJKLQWERTYUIOP123456.,"[(4, 20, 'ORG'), (39, 55, 'WORK_OF_ART'), (59, 66, 'LANGUAGE'), (72, 85, 'IP-Address'), (99, 139, 'Token keys')]"
"On 2024-02-29, analyst Mike remotely accessed IP 198.51.100.6 with token key QWERTYUIOPASDFGHJKLZXCVBNM1234567890.","[(3, 13, 'DATE'), (22, 26, 'PER'), (44, 57, 'IP-Address'), (71, 111, 'Token keys')]"
"The 7th server in cluster 172.20.10.16 failed health check, token key MNBVCXZLKJHGFDSAPOIUYTREWQ9876543210 assigned for recovery.","[(4, 7, 'ORDINAL'), (27, 39, 'IP-Address'), (56, 96, 'Token keys')]"
Admin Olivia reset the firewall at IP 203.0.113.51 and logged token key ZXCVBNMASDFGHJKLQWERTYUIOP123456.,"[(6, 12, 'PER'), (38, 51, 'IP-Address'), (65, 105, 'Token keys')]"
The software 'GuardPro' version 2.6 was installed on 192.168.10.21 with token key QAZWSXEDCRFVTGBYHNUJMIKOLP0987654321.,"[(13, 21, 'WORK_OF_ART'), (43, 54, 'IP-Address'), (68, 108, 'Token keys')]"
User Noah from London logged in via IPv6 2001:0db8:85a3:0000:0000:8a2e:0370:7336 using token key 1Q2W3E4R5T6Y7U8I9O0P1A2S3D4F5G6.,"[(5, 9, 'PER'), (15, 21, 'LOC'), (35, 72, 'IP-Address'), (86, 126, 'Token keys')]"
Database server 10.20.30.51 was patched on 2024-05-07 with token key ZXCVBNMASDFGHJKLQWERTYUIOP12345678 by user Emma.,"[(17, 28, 'IP-Address'), (38, 48, 'DATE'), (52, 92, 'Token keys'), (102, 106, 'PER')]"
NetSolutions deployed firewall updates on IP 192.0.2.61 with token key MNBVCXZLKJHGFDSAPOIUYTREWQ9876543210 effective 2024-07-03.,"[(0, 12, 'ORG'), (41, 52, 'IP-Address'), (66, 106, 'Token keys'), (117, 127, 'DATE')]"
Lucy rebooted server 172.31.0.111 and used token key ASDFGHJKLQWERTYUIOPZXCVBNM123456 to restore services.,"[(0, 4, 'PER'), (22, 34, 'IP-Address'), (47, 87, 'Token keys')]"
"The 1st quarter report prepared by Finance Dept on IP 198.51.100.21, token key QWERTYUIOPASDFGHJKLZXCVBNM123456.","[(4, 7, 'ORDINAL'), (38, 53, 'ORG'), (59, 71, 'IP-Address'), (83, 123, 'Token keys')]"
Ava accessed the VPN from IPv6 fe80::a6db:30ff:fe98:e948 with token key ZXCVBNMLKJHGFDSAPOIUYTREWQ1234567890.,"[(0, 3, 'PER'), (24, 48, 'IP-Address'), (62, 102, 'Token keys')]"
Patch KB7891013 was installed on 10.10.20.32 with token key MNBVCXZLKJHGFDSAPOIUYTREWQ0987654321 by admin Ethan.,"[(6, 16, 'WORK_OF_ART'), (30, 41, 'IP-Address'), (55, 95, 'Token keys'), (104, 109, 'PER')]"
Server 192.168.1.202 rebooted at 2024-06-32 following token key 1234567890QWERTYUIOPLKJHGFDSAZXCV for authentication.,"[(7, 20, 'IP-Address'), (29, 39, 'DATE'), (50, 90, 'Token keys')]"
Network engineer Mia updated router configs on IP 203.0.113.12 using token key POIUYTREWQLKJHGFDSAMNBVCXZ123456.,"[(16, 19, 'PER'), (40, 53, 'IP-Address'), (67, 107, 'Token keys')]"
The new feature 'SecureConnect' was rolled out by DevTeam at IP 10.0.0.101 with token key QWERTYUIOPASDFGHJKLZXCVBNM9876543210.,"[(18, 31, 'WORK_OF_ART'), (47, 54, 'ORG'), (58, 68, 'IP-Address'), (82, 122, 'Token keys')]"
"On 2024-03-17, operator Jack logged in from IP 172.16.254.256 and authenticated with token key ZXCVBNMASDFGHJKLQWERTYUIOP123456.","[(3, 13, 'DATE'), (26, 30, 'PER'), (44, 57, 'IP-Address'), (71, 111, 'Token keys')]"
"Server load average exceeded threshold on 192.0.2.202, token key MNBVCXZLKJHGFDSAPOIUYTREWQ1234567890 used for diagnostics.","[(43, 56, 'IP-Address'), (70, 110, 'Token keys')]"
Jessica deployed patch KB1002005 to server 10.10.10.102 with token key ASDFGHJKLQWERTYUIOPZXCVBNM9876543210.,"[(0, 7, 'PER'), (26, 36, 'WORK_OF_ART'), (40, 52, 'IP-Address'), (66, 106, 'Token keys')]"
The translation team updated the manual 'QuickStart Guide' in English from IP 203.0.113.17 using token key ZXCVBNMASDFGHJKLQWERTYUIOP123456.,"[(4, 20, 'ORG'), (39, 55, 'WORK_OF_ART'), (59, 66, 'LANGUAGE'), (72, 85, 'IP-Address'), (99, 139, 'Token keys')]"
"On 2024-03-01, analyst Mike remotely accessed IP 198.51.100.7 with token key QWERTYUIOPASDFGHJKLZXCVBNM1234567890.","[(3, 13, 'DATE'), (22, 26, 'PER'), (44, 57, 'IP-Address'), (71, 111, 'Token keys')]"
"The 7th server in cluster 172.20.10.17 failed health check, token key MNBVCXZLKJHGFDSAPOIUYTREWQ9876543210 assigned for recovery.","[(4, 7, 'ORDINAL'), (27, 39, 'IP-Address'), (56, 96, 'Token keys')]"
Admin Olivia reset the firewall at IP 203.0.113.52 and logged token key ZXCVBNMASDFGHJKLQWERTYUIOP123456.,"[(6, 12, 'PER'), (38, 51, 'IP-Address'), (65, 105, 'Token keys')]"
The software 'GuardPro' version 2.7 was installed on 192.168.10.22 with token key QAZWSXEDCRFVTGBYHNUJMIKOLP0987654321.,"[(13, 21, 'WORK_OF_ART'), (43, 54, 'IP-Address'), (68, 108, 'Token keys')]"
User Noah from London logged in via IPv6 2001:0db8:85a3:0000:0000:8a2e:0370:7337 using token key 1Q2W3E4R5T6Y7U8I9O0P1A2S3D4F5G6.,"[(5, 9, 'PER'), (15, 21, 'LOC'), (35, 72, 'IP-Address'), (86, 126, 'Token keys')]"
Database server 10.20.30.52 was patched on 2024-05-08 with token key ZXCVBNMASDFGHJKLQWERTYUIOP12345678 by user Emma.,"[(17, 28, 'IP-Address'), (38, 48, 'DATE'), (52, 92, 'Token keys'), (102, 106, 'PER')]"
User John Doe accessed the server with IP 192.168.1.45 using token key 4f8d2e9a7c1b3f5d8e0a9c4b7d6f3a2e on 2024-04-15 at the New York data center.,"[(5, 13, 'PER'), (48, 59, 'IP-Address'), (71, 107, 'Token keys'), (111, 121, 'DATE'), (129, 137, 'LOC')]"
"The 3rd backup was completed from 10.0.0.125 with token key a1b2c3d4e5f67890123456789abcdef0 at Microsoft HQ on April 3, 2023.","[(4, 7, 'ORDINAL'), (34, 44, 'IP-Address'), (56, 92, 'Token keys'), (96, 105, 'ORG'), (109, 120, 'LOC'), (124, 136, 'DATE')]"
"Payment of $2500 was received on 2023-11-22 from IP 172.16.254.1, authorized by Alice Smith with token key 9f8e7d6c5b4a3210fedcba9876543210, at London branch.","[(11, 15, 'MONEY'), (29, 39, 'DATE'), (45, 56, 'IP-Address'), (71, 82, 'PER'), (98, 134, 'Token keys'), (140, 146, 'LOC')]"
Server update completed on 2024-05-19 for user ID 00123 from IP fe80::1ff:fe23:4567:890a using token key 1234567890abcdef1234567890abcdef in Berlin office.,"[(24, 34, 'DATE'), (49, 54, 'CARDINAL'), (60, 78, 'IP-Address'), (94, 130, 'Token keys'), (134, 140, 'LOC')]"
The document 'Project Phoenix' was approved by Dr. Emily Clark on 2022-12-01 with token key ab12cd34ef56gh78ij90kl12mn34op56 and logged from 203.0.113.5.,"[(13, 28, 'WORK_OF_ART'), (42, 55, 'PER'), (59, 69, 'DATE'), (75, 111, 'Token keys'), (127, 138, 'IP-Address')]"
Node 12 at IP address 10.10.10.10 reported errors; token key 0f1e2d3c4b5a69788766554433221100 was used by technician Mark Lee on 2023-01-10.,"[(5, 7, 'CARDINAL'), (22, 32, 'IP-Address'), (51, 87, 'Token keys'), (101, 110, 'PER'), (114, 124, 'DATE')]"
A total of 500 units shipped from Tokyo warehouse on 2023-07-07 with token key 9876abcdef1234567890abcdef123456 and server IP 198.51.100.42.,"[(11, 14, 'QUANTITY'), (32, 37, 'LOC'), (41, 51, 'DATE'), (67, 103, 'Token keys'), (117, 129, 'IP-Address')]"
The first patch was deployed by admin user Sarah Connor using token key aabbccddeeff00112233445566778899 from IPv6 address 2001:0db8:85a3:0000:0000:8a2e:0370:7334 on 2023-03-15.,"[(4, 9, 'ORDINAL'), (34, 46, 'PER'), (63, 99, 'Token keys'), (111, 148, 'IP-Address'), (152, 162, 'DATE')]"
Invoice #45678 for €3200 was issued to company Acme Corp on 2024-02-28; token key 11223344556677889900aabbccddeeff and IP 123.45.67.89 recorded.,"[(8, 13, 'CARDINAL'), (18, 23, 'MONEY'), (39, 48, 'ORG'), (52, 62, 'DATE'), (64, 100, 'Token keys'), (110, 121, 'IP-Address')]"
Client Miguel Hernandez connected from IPv4 8.8.8.8 using token key ff00ee11dd22cc33bb44aa5566778899 on 2023-09-05 at the Madrid office.,"[(7, 23, 'PER'), (41, 46, 'IP-Address'), (60, 96, 'Token keys'), (100, 110, 'DATE'), (118, 124, 'LOC')]"
Release version 2.1.0 was deployed on 2023-06-30 with token key 0a1b2c3d4e5f67890123456789abcdef from IP address 255.255.255.0 at Seattle HQ.,"[(16, 21, 'MISC'), (35, 45, 'DATE'), (51, 87, 'Token keys'), (97, 108, 'IP-Address'), (112, 120, 'LOC')]"
Translator Juan Pablo submitted the French language file with token key 123abc456def789ghi012jkl345mno678 and logged in from IP 172.217.10.14 on 2024-01-20.,"[(11, 22, 'PER'), (32, 38, 'LANGUAGE'), (56, 92, 'Token keys'), (110, 121, 'IP-Address'), (125, 135, 'DATE')]"
The 7th server reboot was triggered at 2023-10-15 by user Lisa Wong using token key deadbeefcafebabe1234567890abcdef and IP 192.0.2.146.,"[(4, 7, 'ORDINAL'), (33, 43, 'DATE'), (47, 56, 'PER'), (68, 104, 'Token keys'), (110, 121, 'IP-Address')]"
Order 789 was placed by Michael Johnson for $1500 on 2023-08-08; token key abcdef1234567890abcdef1234567890 was used from IP 10.20.30.40 at Dallas site.,"[(6, 9, 'CARDINAL'), (22, 37, 'PER'), (42, 46, 'MONEY'), (50, 60, 'DATE'), (62, 98, 'Token keys'), (108, 119, 'IP-Address'), (123, 129, 'LOC')]"
The IP 240.0.0.1 was blacklisted after suspicious activity detected with token key 00112233445566778899aabbccddeeff on 2024-03-01 in the Toronto office.,"[(4, 13, 'IP-Address'), (66, 102, 'Token keys'), (106, 116, 'DATE'), (124, 131, 'LOC')]"
"On 2024-04-10, the French translation team updated documents using token key a1b2c3d4e5f60718293a4b5c6d7e8f90; server IP was 198.51.100.22.","[(3, 13, 'DATE'), (18, 24, 'LANGUAGE'), (58, 94, 'Token keys'), (108, 120, 'IP-Address')]"
"Backup #9 completed successfully from IP 172.31.255.255 with token key ffeeddccbbaa99887766554433221100 on March 12, 2024 at the Sydney data center.","[(7, 8, 'CARDINAL'), (33, 45, 'IP-Address'), (60, 96, 'Token keys'), (100, 112, 'DATE'), (120, 126, 'LOC')]"
Database administrator Mike O'Neil logged in from IPv6 address 2607:f0d0:1002:51::4 using token key 1234abcd5678efgh9012ijkl3456mnop on 2023-12-25.,"[(22, 32, 'PER'), (46, 70, 'IP-Address'), (83, 119, 'Token keys'), (123, 133, 'DATE')]"
The server at IP 192.168.100.100 received a request with token key 0f9e8d7c6b5a4321123456789abcdef0 from user Anna Lee on 2024-05-05.,"[(15, 27, 'IP-Address'), (53, 89, 'Token keys'), (100, 108, 'PER'), (112, 122, 'DATE')]"
"The 2nd quarter sales report was submitted by CFO Rachel Green on 2023-07-01, with token key abc123def456ghi789jkl012mno345pq and logged from IP 203.0.113.77.","[(4, 7, 'ORDINAL'), (29, 39, 'PER'), (43, 53, 'DATE'), (59, 95, 'Token keys'), (109, 121, 'IP-Address')]"
"User ID 7789 connected from IPv4 192.0.2.255 with token key 1122aabb3344ccdd5566eeff77889900 on August 16, 2024 at the Berlin server farm.","[(8, 12, 'CARDINAL'), (28, 39, 'IP-Address'), (53, 89, 'Token keys'), (93, 105, 'DATE'), (109, 115, 'LOC')]"
Translation for the Spanish language was completed by Carlos Ruiz using token key 99887766554433221100aabbccddeeff and IP 198.51.100.50 on 2024-02-14.,"[(16, 23, 'LANGUAGE'), (42, 53, 'PER'), (69, 105, 'Token keys'), (110, 122, 'IP-Address'), (126, 136, 'DATE')]"
"On 2023-11-11, the 5th server experienced downtime; token key f1e2d3c4b5a697887766554433221100 was used from IP 10.0.0.1 by technician Sam Patel.","[(3, 13, 'DATE'), (18, 21, 'ORDINAL'), (56, 92, 'Token keys'), (104, 111, 'IP-Address'), (115, 125, 'PER')]"
The novel 'Digital Fortress' was reviewed by editor Anna Kim on 2024-01-15; token key 1234567890abcdef1234567890abcdef and IP 172.20.10.5 were logged.,"[(10, 26, 'WORK_OF_ART'), (44, 52, 'PER'), (56, 66, 'DATE'), (68, 104, 'Token keys'), (109, 120, 'IP-Address')]"
Payment of €4500 was processed on 2024-03-20 for client James Bond using token key aabbccddeeff00112233445566778899 from IP 203.0.113.200.,"[(11, 16, 'MONEY'), (30, 40, 'DATE'), (50, 60, 'PER'), (76, 112, 'Token keys'), (118, 130, 'IP-Address')]"
The 10th update was installed on 2023-08-01 with token key 5566778899aabbccddeeff0011223344 from IPv6 IP fe80::1ff:fe23:4567:890a at Paris headquarters.,"[(4, 6, 'ORDINAL'), (25, 35, 'DATE'), (41, 77, 'Token keys'), (87, 124, 'IP-Address'), (128, 133, 'LOC')]"
"Developer Ethan Hunt accessed the system from IP 192.0.2.33 with token key 0a1b2c3d4e5f67890123456789abcdef on January 5, 2024.","[(10, 20, 'PER'), (44, 55, 'IP-Address'), (69, 105, 'Token keys'), (109, 121, 'DATE')]"
The total quantity of 250 items was shipped from the London warehouse on 2023-05-10 with token key 123456abcdef7890abcdef1234567890 and IP 10.10.10.10.,"[(19, 22, 'QUANTITY'), (48, 54, 'LOC'), (58, 68, 'DATE'), (74, 110, 'Token keys'), (115, 126, 'IP-Address')]"
The IT support team received a ticket from user Daniel Craig with token key fedcba98765432100123456789abcdef and IP address 198.51.100.100 on 2024-06-10.,"[(46, 57, 'PER'), (73, 109, 'Token keys'), (123, 138, 'IP-Address'), (142, 152, 'DATE')]"
The 4th quarter financial report was finalized on 2023-12-31; token key 00112233445566778899aabbccddeeff was used from IP 172.16.0.5 by CFO Laura Palmer.,"[(4, 7, 'ORDINAL'), (36, 46, 'DATE'), (48, 84, 'Token keys'), (94, 103, 'IP-Address'), (107, 119, 'PER')]"
Translator Mei Ling submitted the Chinese language files on 2024-02-25 with token key aabbccddeeff00112233445566778899 from IP 192.168.0.100.,"[(10, 18, 'PER'), (27, 34, 'LANGUAGE'), (39, 49, 'DATE'), (55, 91, 'Token keys'), (96, 110, 'IP-Address')]"
The server rebooted for the 6th time on 2023-09-09; token key 123abc456def789ghi012jkl345mno678 was logged from IPv6 address 2001:0db8:85a3:0000:0000:8a2e:0370:7334.,"[(27, 30, 'ORDINAL'), (34, 44, 'DATE'), (46, 82, 'Token keys'), (97, 134, 'IP-Address')]"
Client Sarah Connor made a payment of $3200 on 2024-03-03 using token key deadbeefcafebabe1234567890abcdef from IP 10.1.1.1.,"[(7, 19, 'PER'), (36, 40, 'MONEY'), (44, 54, 'DATE'), (71, 107, 'Token keys'), (117, 125, 'IP-Address')]"
The novel 'The Silent Patient' was edited by Nora Roberts on 2023-10-20; token key 99887766554433221100aabbccddeeff used from IP 198.51.100.10.,"[(10, 28, 'WORK_OF_ART'), (40, 52, 'PER'), (56, 66, 'DATE'), (68, 104, 'Token keys'), (115, 126, 'IP-Address')]"
Order #1024 for $12500 was approved on 2024-05-01 by manager David Miller using token key abcdef1234567890abcdef1234567890 from IP 203.0.113.150.,"[(6, 10, 'CARDINAL'), (15, 20, 'MONEY'), (30, 40, 'DATE'), (44, 56, 'PER'), (73, 109, 'Token keys'), (119, 132, 'IP-Address')]"
"On 2024-04-05, the 1st backup was completed using token key 11223344556677889900aabbccddeeff from IP 192.168.10.10 at the Madrid data center.","[(3, 13, 'DATE'), (19, 22, 'ORDINAL'), (49, 85, 'Token keys'), (95, 107, 'IP-Address'), (111, 117, 'LOC')]"
Developer Alice Wong accessed the system on 2023-07-18 with token key ffeeddccbbaa99887766554433221100 from IP 172.16.0.1 at San Francisco office.,"[(10, 21, 'PER'), (40, 50, 'DATE'), (66, 102, 'Token keys'), (112, 123, 'IP-Address'), (127, 142, 'LOC')]"
The 8th patch was deployed on 2023-06-15; token key 0a1b2c3d4e5f67890123456789abcdef was used from IP 10.0.0.5 by technician John Smith.,"[(4, 7, 'ORDINAL'), (26, 36, 'DATE'), (38, 74, 'Token keys'), (84, 91, 'IP-Address'), (95, 105, 'PER')]"
Translator Maria Garcia submitted the Spanish files on 2023-09-30; token key 123456abcdef7890abcdef1234567890 and IP 203.0.113.10 were logged.,"[(11, 24, 'PER'), (30, 37, 'LANGUAGE'), (41, 51, 'DATE'), (53, 89, 'Token keys'), (94, 106, 'IP-Address')]"
The 12th server reboot occurred on 2023-11-01; token key deadbeefcafebabe1234567890abcdef was used from IPv6 address 2001:0db8:85a3:0000:0000:8a2e:0370:7334.,"[(4, 7, 'ORDINAL'), (26, 36, 'DATE'), (38, 74, 'Token keys'), (84, 121, 'IP-Address')]"
User Robert Brown logged in from IP 192.168.50.50 on 2024-01-01 using token key 0f9e8d7c6b5a4321123456789abcdef0 at the Chicago office.,"[(5, 17, 'PER'), (33, 45, 'IP-Address'), (49, 59, 'DATE'), (71, 107, 'Token keys'), (111, 118, 'LOC')]"
The payment of $7500 was processed on 2023-10-10 by client Olivia Evans with token key 1122aabb3344ccdd5566eeff77889900 from IP 198.51.100.25.,"[(15, 19, 'MONEY'), (33, 43, 'DATE'), (47, 60, 'PER'), (76, 112, 'Token keys'), (122, 134, 'IP-Address')]"
"On 2024-03-12, the French translation was finalized by Pierre Dupont using token key aabbccddeeff00112233445566778899 from IP address 10.10.10.20.","[(3, 13, 'DATE'), (18, 24, 'LANGUAGE'), (48, 61, 'PER'), (77, 113, 'Token keys'), (127, 139, 'IP-Address')]"
Backup number 15 completed successfully from IP 172.31.0.1; token key ffeeddccbbaa99887766554433221100 was used by admin John Doe.,"[(14, 16, 'CARDINAL'), (44, 54, 'IP-Address'), (57, 93, 'Token keys'), (107, 115, 'PER')]"
The book 'Invisible Man' was reviewed by editor Sarah Johnson on 2023-08-25; token key 1234567890abcdef1234567890abcdef used from IP 203.0.113.5.,"[(10, 24, 'WORK_OF_ART'), (36, 50, 'PER'), (54, 64, 'DATE'), (66, 102, 'Token keys'), (113, 124, 'IP-Address')]"
Payment of $5000 was received from client James Bond on 2024-01-30; token key abcdef1234567890abcdef1234567890 was used from IP 198.51.100.18.,"[(11, 15, 'MONEY'), (33, 43, 'PER'), (47, 57, 'DATE'), (59, 95, 'Token keys'), (105, 117, 'IP-Address')]"
The 3rd system reboot occurred on 2023-09-09; token key 99887766554433221100aabbccddeeff was used from IP 10.0.0.4 by technician Emily Clark.,"[(4, 7, 'ORDINAL'), (30, 40, 'DATE'), (42, 78, 'Token keys'), (88, 95, 'IP-Address'), (99, 111, 'PER')]"
Translator Juan Carlos submitted the Spanish translation files on 2024-02-20 with token key 123abc456def789ghi012jkl345mno678 and IP 192.168.1.100.,"[(11, 22, 'PER'), (28, 35, 'LANGUAGE'), (59, 69, 'DATE'), (75, 111, 'Token keys'), (116, 130, 'IP-Address')]"
User ID 56789 logged in from IPv4 203.0.113.20 with token key deadbeefcafebabe1234567890abcdef on 2023-11-11 at the New York office.,"[(8, 13, 'CARDINAL'), (33, 44, 'IP-Address'), (58, 94, 'Token keys'), (98, 108, 'DATE'), (116, 124, 'LOC')]"
The total quantity of 1000 units was shipped from Berlin on 2023-05-15 with token key 0f9e8d7c6b5a4321123456789abcdef0 and IP 10.1.1.100.,"[(19, 23, 'QUANTITY'), (46, 52, 'LOC'), (56, 66, 'DATE'), (72, 108, 'Token keys'), (113, 123, 'IP-Address')]"
Database admin Mike Ross accessed the system on 2024-01-05 using token key 1122aabb3344ccdd5566eeff77889900 from IP 192.168.2.2 at the London HQ.,"[(15, 24, 'PER'), (43, 53, 'DATE'), (67, 103, 'Token keys'), (113, 124, 'IP-Address'), (128, 134, 'LOC')]"
The 9th patch was applied on 2023-07-22; token key aabbccddeeff00112233445566778899 was used from IPv6 address 2001:0db8:85a3:0000:0000:8a2e:0370:7334.,"[(4, 7, 'ORDINAL'), (20, 30, 'DATE'), (32, 68, 'Token keys'), (83, 120, 'IP-Address')]"
Translator Anna Lee completed the French language files on 2024-03-03 with token key 123456abcdef7890abcdef1234567890 from IP 198.51.100.35.,"[(11, 19, 'PER'), (29, 35, 'LANGUAGE'), (39, 49, 'DATE'), (55, 91, 'Token keys'), (96, 108, 'IP-Address')]"
The 11th server reboot took place on 2023-12-12; token key deadbeefcafebabe1234567890abcdef was used from IP 10.0.0.6 by technician John Doe.,"[(4, 7, 'ORDINAL'), (31, 41, 'DATE'), (43, 79, 'Token keys'), (89, 96, 'IP-Address'), (100, 108, 'PER')]"
User Robert Langdon logged in from IP 192.168.1.101 on 2024-02-02 using token key 0f9e8d7c6b5a4321123456789abcdef0 at the Paris office.,"[(5, 19, 'PER'), (34, 46, 'IP-Address'), (50, 60, 'DATE'), (72, 108, 'Token keys'), (112, 117, 'LOC')]"
Payment of $6000 was received from client Emily Blunt on 2023-10-30; token key 1122aabb3344ccdd5566eeff77889900 was used from IP 203.0.113.70.,"[(11, 15, 'MONEY'), (33, 44, 'PER'), (48, 58, 'DATE'), (60, 96, 'Token keys'), (106, 118, 'IP-Address')]"
"On 2024-04-01, the Spanish translation was finalized by Pedro Sanchez using token key aabbccddeeff00112233445566778899 from IP address 10.10.10.30.","[(3, 13, 'DATE'), (18, 25, 'LANGUAGE'), (49, 62, 'PER'), (78, 114, 'Token keys'), (128, 140, 'IP-Address')]"
Backup number 20 completed successfully from IP 172.31.0.10; token key ffeeddccbbaa99887766554433221100 was used by admin Michael Scott.,"[(14, 16, 'CARDINAL'), (44, 56, 'IP-Address'), (59, 95, 'Token keys'), (109, 123, 'PER')]"
The book 'The Great Gatsby' was reviewed by editor Jane Austen on 2023-06-15; token key 1234567890abcdef1234567890abcdef used from IP 198.51.100.20.,"[(10, 27, 'WORK_OF_ART'), (39, 49, 'PER'), (53, 63, 'DATE'), (65, 101, 'Token keys'), (112, 123, 'IP-Address')]"
